INFO  - 2014-01-23 20:56:00.806; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-01-23 20:56:00.833; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-01-23 20:56:00.833; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-01-23 20:56:01.002; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-01-23 20:56:01.021; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.021; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.025; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-01-23 20:56:01.026; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.033; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2014-01-23 20:56:01.097; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2014-01-23 20:56:01.098; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2014-01-23 20:56:01.102; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.CSVRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2014-01-23 20:56:01.103; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2014-01-23 20:56:01.104; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-01-23 20:56:01.111; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-01-23 20:56:01.111; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-01-23 20:56:01.113; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-01-23 20:56:01.120; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-01-23 20:56:01.121; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-01-23 20:56:01.134; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-01-23 20:56:01.146; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-01-23 20:56:01.151; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-01-23 20:56:01.179; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-01-23 20:56:01.179; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.180; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.180; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.180; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.181; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-01-23 20:56:01.181; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-01-23 20:56:01.181; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.182; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.182; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.182; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-01-23 20:56:01.223; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-01-23 20:56:01.228; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-01-23 20:56:01.229; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-01-23 20:56:01.264; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-01-23 20:56:01.265; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-01-23 20:56:01.296; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/jesse/Downloads/solr-4.6.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@4a0ce796; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-01-23 20:56:01.296; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-01-23 20:56:01.331; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3600e312 main
INFO  - 2014-01-23 20:56:01.341; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-01-23 20:56:01.355; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-01-23 20:56:01.368; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-01-23 20:56:01.372; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/jesse/Downloads/solr-4.6.0/example/solr/collection1/conf/elevate.xml
INFO  - 2014-01-23 20:56:01.440; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-01-23 20:56:01.441; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3600e312 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-01-23 20:56:01.447; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-01-23 20:56:01.458; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/jesse/Downloads/solr-4.6.0/example
INFO  - 2014-01-23 20:56:01.459; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-01-23 20:56:01.610; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-01-23 20:56:01.622; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=177 
INFO  - 2014-01-23 20:56:01.623; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-01-23 20:56:01.627; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-01-23 20:56:01.628; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-01-23 20:56:01.629; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3600e312 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-01-23 20:56:26.425; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1390539386365&wt=json} status=0 QTime=2 
INFO  - 2014-01-23 20:56:26.855; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1390539386504&wt=json} status=0 QTime=331 
INFO  - 2014-01-23 21:24:14.782; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1390541054743&since=0&wt=json} status=0 QTime=4 
INFO  - 2014-01-23 21:24:17.022; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1390541057000&wt=json} status=0 QTime=5 
INFO  - 2014-01-23 21:24:17.124; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1390541057102&wt=json} status=0 QTime=1 
INFO  - 2014-01-23 21:24:18.983; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1390541058970&wt=json} status=0 QTime=1 
INFO  - 2014-01-23 21:24:19.047; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1390541059035&wt=json} status=0 QTime=1 
INFO  - 2014-01-23 21:24:19.885; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/properties params={_=1390541059867&wt=json} status=0 QTime=1 
INFO  - 2014-01-23 21:24:21.248; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1390541061232&since=0&wt=json} status=0 QTime=0 
INFO  - 2014-01-23 21:24:27.896; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/properties params={_=1390541067880&wt=json} status=0 QTime=0 
INFO  - 2014-01-23 22:48:30.097; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2014-01-23 22:48:30.138; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/jesse/Downloads/solr-4.6.0/example/solr-webapp/webapp/},/home/jesse/Downloads/solr-4.6.0/example/webapps/solr.war
INFO  - 2014-01-23 22:48:31.143; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1619519236
INFO  - 2014-01-23 22:48:31.145; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@618eabf6
INFO  - 2014-01-23 22:48:31.146; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2014-01-23 22:48:31.147; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2014-01-23 22:48:31.148; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2014-01-23 22:48:31.149; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2014-01-23 22:48:31.180; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2014-01-23 22:48:31.182; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
